image_id,true_count,fixedN_count,naive_evidence_accumulation_count,edge_density_count,naive_gaussian_count
000000538422.jpg,5,20,2,2,8
000000374498.jpg,7,20,2,2,3
000000002429.jpg,8,20,2,2,12
000000097427.jpg,7,20,2,2,17
000000581501.jpg,7,20,2,2,1
000000398419.jpg,9,20,2,2,12
000000400625.jpg,3,20,2,2,12
000000200654.jpg,1,20,2,2,9
000000272217.jpg,9,20,2,2,5
000000122498.jpg,5,20,2,2,19
000000417171.jpg,9,20,3,2,12
000000316342.jpg,4,20,2,2,16
000000373727.jpg,8,20,2,2,9
000000019546.jpg,6,20,2,2,12
000000572110.jpg,3,20,2,2,6
000000349322.jpg,4,20,3,2,7
000000303148.jpg,10,20,2,2,1
000000462712.jpg,4,20,2,2,5
000000270388.jpg,9,20,2,2,14
000000197959.jpg,12,20,2,2,12
000000119755.jpg,7,20,2,2,7
000000537844.jpg,4,20,2,2,11
000000258000.jpg,7,20,2,2,15
000000027452.jpg,6,20,2,2,10
000000103863.jpg,23,20,2,2,6
000000025697.jpg,4,20,2,2,1
000000425112.jpg,5,20,2,2,8
000000096107.jpg,4,20,2,2,17
000000044294.jpg,5,20,2,2,14
000000074357.jpg,9,20,2,2,8
000000251219.jpg,20,20,2,2,5
000000126983.jpg,11,20,2,2,7
000000203577.jpg,8,20,2,2,5
000000397459.jpg,5,20,2,2,6
000000288948.jpg,10,20,3,2,15
000000121828.jpg,9,20,2,2,12
000000529203.jpg,4,20,2,2,8
000000193756.jpg,5,20,2,2,1
000000563652.jpg,6,20,2,2,12
000000128842.jpg,4,20,2,2,9
000000265052.jpg,4,20,2,2,5
000000493428.jpg,5,20,2,2,13
000000087126.jpg,19,20,3,2,12
000000283059.jpg,7,20,2,2,5
000000414156.jpg,3,20,2,2,12
000000463309.jpg,3,20,2,2,11
000000116944.jpg,4,20,2,2,9
000000521314.jpg,3,20,2,2,7
000000187724.jpg,17,20,2,2,7
000000429990.jpg,5,20,2,2,12
000000546984.jpg,22,20,3,2,12
000000316132.jpg,11,20,2,2,16
000000313705.jpg,26,20,3,2,9
000000452502.jpg,5,20,2,2,5
000000485931.jpg,7,20,2,2,14
000000052497.jpg,7,20,2,2,10
000000183972.jpg,6,20,3,2,17
000000537761.jpg,4,20,2,2,12
000000077429.jpg,5,20,2,2,12
000000512736.jpg,15,20,2,2,6
000000231029.jpg,14,20,2,2,2
000000324381.jpg,23,20,3,2,14
000000515878.jpg,5,20,2,2,10
